preset,seed,steps,batch_size,parameters,train_count,holdout_count,sequence_length,chance_nll,initial_train_nll,initial_holdout_nll,final_train_nll,final_holdout_nll,final_train_accuracy,final_holdout_accuracy,mean_estimated_madds_per_token,mean_active_mechanisms_per_token,mean_writers_per_token,mean_recipients_per_token,first_window_loss,last_window_loss,mechanism_load,role_mechanism_load,condition,workspace_aux_initial_weight,workspace_aux_anneal_steps,first_primary_window_loss,last_primary_window_loss,last_workspace_aux_window_loss,anneal_boundary_primary_window_loss,final_workspace_aux_weight,final_weighted_workspace_aux_window_loss,training_stream_samples,output_logit_bound,initial_train_brier,initial_holdout_brier,final_train_brier,final_holdout_brier,initial_train_ece,initial_holdout_ece,final_train_ece,final_holdout_ece,final_train_max_confidence,final_holdout_max_confidence,final_train_true_class_probability,final_holdout_true_class_probability,read_slot_load,write_slot_load,mean_write_collision_rate,mean_routing_entropy,mean_routing_disagreement_rate,router_initial_temperature,router_final_temperature,router_anneal_steps,final_200_collision_rate,final_200_routing_entropy,final_200_disagreement_rate
structural_core_blind,0,800,8,725,160,160,8,1.609437912434,1.609437912434,1.609437912434,1.613150942584,1.670176557925,0.175000000000,0.162500000000,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.614667526251,1.589190702147,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,structural_core_blind,0.000000000000,0,1.614667526251,1.589190702147,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.800000000000,0.800000000000,0.801609364509,0.821752719284,0.031250000000,0.143750000000,0.054415976981,0.066915976981,0.229415976981,0.229415976981,0.201011197593,0.190939520206,0;0;0,0;0;0,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_fixed_position,0,800,8,88,160,160,8,1.609437912434,0.057949543520,0.064408546165,0.002228070934,0.002284472668,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.025112789036,0.002202717836,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_fixed_position,0.000000000000,0,0.025112789036,0.002202717836,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.007343825986,0.008226143522,0.000006231273,0.000006560852,0.055293224104,0.061418538208,0.002225579588,0.002281848386,0.997774420412,0.997718151614,0.997774420412,0.997718151614,48;64;48,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_first_free,0,800,8,88,160,160,8,1.609437912434,0.057949543520,0.064408546165,0.002228070934,0.002284472668,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.025112789036,0.002202717836,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_first_free,0.000000000000,0,0.025112789036,0.002202717836,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.007343825986,0.008226143522,0.000006231273,0.000006560852,0.055293224104,0.061418538208,0.002225579588,0.002281848386,0.997774420412,0.997718151614,0.997774420412,0.997718151614,48;64;48,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_hard_router,0,800,8,112,160,160,8,1.609437912434,0.057949543520,0.064408546165,0.002228070934,0.002284472668,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.025112789036,0.002202717836,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_hard_router,0.000000000000,0,0.025112789036,0.002202717836,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.007343825986,0.008226143522,0.000006231273,0.000006560852,0.055293224104,0.061418538208,0.002225579588,0.002281848386,0.997774420412,0.997718151614,0.997774420412,0.997718151614,64;50;46,320;320;320,0.000000000000,0.072765989821,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.077938284426,0.000000000000
kv_annealed_router,0,800,8,112,160,160,8,1.609437912434,0.057949543520,0.064408546165,0.002228070934,0.002284472668,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.025112789036,0.002202717836,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_annealed_router,0.000000000000,0,0.025112789036,0.002202717836,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.007343825986,0.008226143522,0.000006231273,0.000006560852,0.055293224104,0.061418538208,0.002225579588,0.002281848386,0.997774420412,0.997718151614,0.997774420412,0.997718151614,62;50;48,320;320;320,0.000000000000,0.031169583290,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.034199214783,0.000000000000
structural_core_blind,1,800,8,725,160,160,8,1.609437912434,1.609437912434,1.609437912434,1.603385208710,1.624236243916,0.200000000000,0.187500000000,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.667132339054,1.596877297771,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,structural_core_blind,0.000000000000,0,1.667132339054,1.596877297771,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.800000000000,0.800000000000,0.797830899348,0.805718686759,0.068750000000,0.062500000000,0.027228284023,0.039728284023,0.227228284023,0.227228284023,0.201812557611,0.197868663905,0;0;0,0;0;0,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_fixed_position,1,800,8,88,160,160,8,1.609437912434,0.023080450207,0.022841338365,0.002220107525,0.002250409713,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.012464605325,0.002216665465,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_fixed_position,0.000000000000,0,0.012464605325,0.002216665465,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.001180307246,0.001104724847,0.000006186388,0.000006357992,0.022711078234,0.022491507173,0.002217633840,0.002247867287,0.997782366160,0.997752132713,0.997782366160,0.997752132713,53;52;55,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_first_free,1,800,8,88,160,160,8,1.609437912434,0.023080450207,0.022841338365,0.002220107525,0.002250409713,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.012464605325,0.002216665465,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_first_free,0.000000000000,0,0.012464605325,0.002216665465,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.001180307246,0.001104724847,0.000006186388,0.000006357992,0.022711078234,0.022491507173,0.002217633840,0.002247867287,0.997782366160,0.997752132713,0.997782366160,0.997752132713,53;52;55,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_hard_router,1,800,8,112,160,160,8,1.609437912434,0.023080450207,0.022841338365,0.002220107525,0.002250409713,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.012464605325,0.002216665465,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_hard_router,0.000000000000,0,0.012464605325,0.002216665465,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.001180307246,0.001104724847,0.000006186388,0.000006357992,0.022711078234,0.022491507173,0.002217633840,0.002247867287,0.997782366160,0.997752132713,0.997782366160,0.997752132713,45;61;54,320;320;320,0.000000000000,0.217686040784,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.199854431899,0.000000000000
kv_annealed_router,1,800,8,112,160,160,8,1.609437912434,0.023080450207,0.022841338365,0.002220107525,0.002250409713,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.012464605325,0.002216665465,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_annealed_router,0.000000000000,0,0.012464605325,0.002216665465,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.001180307246,0.001104724847,0.000006186388,0.000006357992,0.022711078234,0.022491507173,0.002217633840,0.002247867287,0.997782366160,0.997752132713,0.997782366160,0.997752132713,42;59;59,320;320;320,0.000000000000,0.042374721447,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.041699408461,0.000000000000
structural_core_blind,2,800,8,725,160,160,8,1.609437912434,1.609437912434,1.609437912434,1.614239321156,1.648769543447,0.200000000000,0.218750000000,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.622911118265,1.607165436877,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,structural_core_blind,0.000000000000,0,1.622911118265,1.607165436877,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.800000000000,0.800000000000,0.801782831909,0.814490975789,0.000000000000,0.162500000000,0.018029929620,0.000720070380,0.218029929620,0.218029929620,0.199942822858,0.193588750918,0;0;0,0;0;0,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_fixed_position,2,800,8,88,160,160,8,1.609437912434,0.154885849562,0.146063335883,0.002221508449,0.002247839574,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.116835080240,0.002212593052,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_fixed_position,0.000000000000,0,0.116835080240,0.002212593052,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.064411808150,0.058164097235,0.000006171991,0.000006316275,0.134890233923,0.128032498275,0.002219038436,0.002245311250,0.997780961564,0.997754688750,0.997780961564,0.997754688750,52;55;53,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_first_free,2,800,8,88,160,160,8,1.609437912434,0.154885849562,0.146063335883,0.002221508449,0.002247839574,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.116835080240,0.002212593052,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_first_free,0.000000000000,0,0.116835080240,0.002212593052,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.064411808150,0.058164097235,0.000006171991,0.000006316275,0.134890233923,0.128032498275,0.002219038436,0.002245311250,0.997780961564,0.997754688750,0.997780961564,0.997754688750,52;55;53,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_hard_router,2,800,8,112,160,160,8,1.609437912434,0.154885849562,0.146063335883,0.002221508449,0.002247839574,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.116835080240,0.002212593052,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_hard_router,0.000000000000,0,0.116835080240,0.002212593052,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.064411808150,0.058164097235,0.000006171991,0.000006316275,0.134890233923,0.128032498275,0.002219038436,0.002245311250,0.997780961564,0.997754688750,0.997780961564,0.997754688750,58;51;51,320;320;320,0.000000000000,0.126864862398,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.133223682419,0.000000000000
kv_annealed_router,2,800,8,112,160,160,8,1.609437912434,0.154885849562,0.146063335883,0.002221508449,0.002247839574,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.116835080240,0.002212593052,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_annealed_router,0.000000000000,0,0.116835080240,0.002212593052,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.064411808150,0.058164097235,0.000006171991,0.000006316275,0.134890233923,0.128032498275,0.002219038436,0.002245311250,0.997780961564,0.997754688750,0.997780961564,0.997754688750,52;56;52,320;320;320,0.000000000000,0.062810167026,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.068185052621,0.000000000000
structural_core_blind,3,800,8,725,160,160,8,1.609437912434,1.609437912434,1.609437912434,1.600856764270,1.660536865236,0.206250000000,0.187500000000,696.000000000000,0.000000000000,0.000000000000,0.000000000000,1.621336621287,1.594659769250,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,structural_core_blind,0.000000000000,0,1.621336621287,1.594659769250,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.800000000000,0.800000000000,0.796913288343,0.818351334789,0.056250000000,0.143750000000,0.016220564239,0.034970564239,0.222470564239,0.222470564239,0.203066460531,0.192347437308,0;0;0,0;0;0,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_fixed_position,3,800,8,88,160,160,8,1.609437912434,0.113561091186,0.107934041781,0.002206241309,0.002244242852,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.060129159572,0.002211741837,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_fixed_position,0.000000000000,0,0.060129159572,0.002211741837,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.021363919289,0.019782688851,0.000006083736,0.000006299441,0.106271070612,0.101644539391,0.002203805970,0.002241720851,0.997796194030,0.997758279149,0.997796194030,0.997758279149,52;56;52,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_first_free,3,800,8,88,160,160,8,1.609437912434,0.113561091186,0.107934041781,0.002206241309,0.002244242852,1.000000000000,1.000000000000,64.000000000000,1.000000000000,0.750000000000,1.000000000000,0.060129159572,0.002211741837,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_first_free,0.000000000000,0,0.060129159572,0.002211741837,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.021363919289,0.019782688851,0.000006083736,0.000006299441,0.106271070612,0.101644539391,0.002203805970,0.002241720851,0.997796194030,0.997758279149,0.997796194030,0.997758279149,52;56;52,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.000000000000,0.000000000000
kv_hard_router,3,800,8,112,160,160,8,1.609437912434,0.113561091186,0.107934041781,0.002206241309,0.002244242852,1.000000000000,1.000000000000,88.000000000000,1.000000000000,0.750000000000,1.000000000000,0.060129159572,0.002211741837,320;320;320;320,entity:160;160;160;0|value:160;160;160;0|filler:0;0;0;0|query_marker:0;0;0;160|query_entity:0;0;0;160,kv_hard_router,0.000000000000,0,0.060129159572,0.002211741837,0.000000000000,0.000000000000,0.000000000000,0.000000000000,6400,0.000000000000,0.021363919289,0.019782688851,0.000006083736,0.000006299441,0.106271070612,0.101644539391,0.002203805970,0.002241720851,0.997796194030,0.997758279149,0.997796194030,0.997758279149,58;46;56,320;320;320,0.000000000000,0.252484146675,0.000000000000,2.000000000000,0.100000000000,600,0.000000000000,0.238698517680,0.000000000000
