seed,intervention,holdout_nll,holdout_accuracy,nll_delta_vs_intact,accuracy_delta_vs_intact,mean_active_mechanisms_per_token,mean_writers_per_token,mean_recipients_per_token,mechanism_load
0,intact,1.324453426044,0.604166666667,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,140;175;254;177;126;88
0,no_broadcast,1.306223271655,0.541666666667,-0.018230154389,-0.062500000000,2.000000000000,1.000000000000,2.000000000000,142;174;253;174;134;83
0,no_workspace_persistence,1.615499864622,0.458333333333,0.291046438578,-0.145833333333,2.000000000000,1.000000000000,2.000000000000,162;182;251;181;107;77
0,no_workspace_output,1.359593448035,0.583333333333,0.035140021991,-0.020833333333,2.000000000000,1.000000000000,2.000000000000,140;175;254;177;126;88
0,permuted_recipients,1.328575816740,0.562500000000,0.004122390697,-0.041666666667,2.000000000000,1.000000000000,2.000000000000,153;176;253;180;112;86
1,intact,1.590965818602,0.583333333333,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,249;88;235;55;215;118
1,no_broadcast,1.547692144076,0.583333333333,-0.043273674526,0.000000000000,2.000000000000,1.000000000000,2.000000000000,253;86;235;54;218;114
1,no_workspace_persistence,1.533897041431,0.562500000000,-0.057068777170,-0.020833333333,2.000000000000,1.000000000000,2.000000000000,251;99;236;42;212;120
1,no_workspace_output,1.463102532438,0.625000000000,-0.127863286164,0.041666666667,2.000000000000,1.000000000000,2.000000000000,249;88;235;55;215;118
1,permuted_recipients,1.564375693359,0.583333333333,-0.026590125243,0.000000000000,2.000000000000,1.000000000000,2.000000000000,251;85;234;55;221;114
2,intact,1.827594934397,0.479166666667,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,59;218;198;110;217;158
2,no_broadcast,1.844751421851,0.458333333333,0.017156487454,-0.020833333333,2.000000000000,1.000000000000,2.000000000000,57;225;199;110;211;158
2,no_workspace_persistence,1.805746122148,0.458333333333,-0.021848812249,-0.020833333333,2.000000000000,1.000000000000,2.000000000000,61;223;191;109;221;155
2,no_workspace_output,1.708035274430,0.458333333333,-0.119559659967,-0.020833333333,2.000000000000,1.000000000000,2.000000000000,59;218;198;110;217;158
2,permuted_recipients,1.763683214275,0.458333333333,-0.063911720122,-0.020833333333,2.000000000000,1.000000000000,2.000000000000,57;222;198;110;214;159
3,intact,1.590304016000,0.562500000000,0.000000000000,0.000000000000,2.000000000000,1.000000000000,2.000000000000,172;150;201;156;154;127
3,no_broadcast,1.583845696843,0.562500000000,-0.006458319156,0.000000000000,2.000000000000,1.000000000000,2.000000000000,171;152;199;159;152;127
3,no_workspace_persistence,1.388220442023,0.583333333333,-0.202083573976,0.020833333333,2.000000000000,1.000000000000,2.000000000000,186;162;198;145;142;127
