intervention,metric,n,mean_harm,sd_harm,ci_low,ci_high,harmful_count
zero_query_context,holdout_nll,30,1.5785503010190334,0.7585518140811778,1.3284684460207217,1.8619267120543128,30
zero_query_context,holdout_accuracy,30,0.515,0.1006123492797291,0.475,0.5458333333333333,30
randomized_retention_actions,holdout_nll,30,1.1255181406473334,0.9806143991849645,0.8074883022733117,1.4919267094247393,30
randomized_retention_actions,holdout_accuracy,30,0.42875,0.1504805520714359,0.3752083333333333,0.4814583333333333,30
force_fifo_retention,holdout_nll,30,2.0225925070779334,1.6202615856817453,1.4792432103293316,2.613900828748369,30
force_fifo_retention,holdout_accuracy,30,0.5868749999999999,0.10064915912593915,0.5539583333333334,0.62375,30
force_relevant_eviction,holdout_nll,30,1.5531002207091333,1.252051110157146,1.1406937607087966,2.0256864944651327,30
force_relevant_eviction,holdout_accuracy,30,0.568125,0.15572195255846455,0.5154166666666666,0.624375,30
permuted_context_labels,holdout_nll,30,1.9414259110276002,1.7163343672647993,1.38022406756979,2.5817396735296594,30
permuted_context_labels,holdout_accuracy,30,0.55125,0.1371704514777898,0.5047916666666666,0.6010416666666667,30
disable_retention_skip,holdout_nll,30,2.0168492067947335,1.6188118801136928,1.4720791587091875,2.613026777042148,30
disable_retention_skip,holdout_accuracy,30,0.5860416666666667,0.09964488851652785,0.5533333333333333,0.623125,30
no_workspace_writes,holdout_nll,30,0.8810164936102332,0.4257474109547311,0.7411851368994509,1.040410457895419,30
no_workspace_writes,holdout_accuracy,30,0.5522916666666667,0.11118100501631013,0.515625,0.5939583333333334,30
no_workspace_persistence,holdout_nll,30,0.8810164936102332,0.4257474109547311,0.742346231095099,1.0411174718427074,30
no_workspace_persistence,holdout_accuracy,30,0.5522916666666667,0.11118100501631013,0.5158333333333334,0.5929166666666668,30
no_mechanism_output,holdout_nll,30,0.8810164936102332,0.4257474109547311,0.7430032195286265,1.0413946757877832,30
no_mechanism_output,holdout_accuracy,30,0.5522916666666667,0.11118100501631013,0.515625,0.59375,30
remove_delay_distractors,holdout_nll,30,-0.09589830238553333,0.108035056328866,-0.13461044142615247,-0.058924064384420834,4
remove_delay_distractors,holdout_accuracy,30,-0.031874999999999994,0.035822764747265534,-0.04458333333333333,-0.019374999999999993,4
relevant_looking_delay_distractors,holdout_nll,30,0.7477764807996333,0.6661233983606402,0.5343905253396409,0.9978722538391376,30
relevant_looking_delay_distractors,holdout_accuracy,30,0.20791666666666667,0.06103748612650818,0.1875,0.230625,30
reverse_delay_block,holdout_nll,30,-0.004752117038333311,0.08075418461796595,-0.03257615192585998,0.02438040584972753,12
reverse_delay_block,holdout_accuracy,30,-0.002499999999999995,0.02840971786142052,-0.012499999999999985,0.007500000000000003,10
