preset,seed,steps,batch_size,parameters,train_count,holdout_count,sequence_length,chance_nll,initial_train_nll,initial_holdout_nll,final_train_nll,final_holdout_nll,final_train_accuracy,final_holdout_accuracy,mean_estimated_madds_per_token,mean_active_mechanisms_per_token,mean_writers_per_token,mean_recipients_per_token,first_window_loss,last_window_loss,mechanism_load,role_mechanism_load,condition,workspace_aux_initial_weight,workspace_aux_anneal_steps,first_primary_window_loss,last_primary_window_loss,last_workspace_aux_window_loss,anneal_boundary_primary_window_loss,final_workspace_aux_weight,final_weighted_workspace_aux_window_loss,training_stream_samples,output_logit_bound,initial_train_brier,initial_holdout_brier,final_train_brier,final_holdout_brier,initial_train_ece,initial_holdout_ece,final_train_ece,final_holdout_ece,final_train_max_confidence,final_holdout_max_confidence,final_train_true_class_probability,final_holdout_true_class_probability,read_slot_load,write_slot_load,mean_write_collision_rate,mean_routing_entropy,mean_routing_disagreement_rate,router_initial_temperature,router_final_temperature,router_anneal_steps,final_200_collision_rate,final_200_routing_entropy,final_200_disagreement_rate,retention_write_rate,retention_skip_rate,retention_eviction_rate,relevant_eviction_rate,queried_entity_retention_rate,query_read_hit_rate,mean_retained_age,eviction_slot_load,final_300_retention_write_rate,final_300_retention_skip_rate,final_300_retention_eviction_rate,final_300_relevant_eviction_rate,final_300_query_read_hit_rate
kv_full_capacity,0,1200,8,120,160,160,15,1.791759469228,0.057152243813,0.074003737883,0.003742745753,0.003762962325,1.000000000000,1.000000000000,96.000000000000,1.000000000000,0.800000000000,1.000000000000,0.032496614932,0.003762043713,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_full_capacity,0.000000000000,0,0.032496614932,0.003762043713,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.012716123119,0.017292758791,0.000016772760,0.000016954966,0.053569614159,0.069141945984,0.003735743130,0.003755883674,0.996264256870,0.996244116326,0.996264256870,0.996244116326,23;28;22;33;29;25,320;320;320;320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,2.500000000000,0;0;0;0;0;0,1.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000
kv_oracle_retention,0,1200,8,120,160,160,15,1.791759469228,0.057152243813,0.074003737883,0.003742745753,0.003762962325,1.000000000000,1.000000000000,72.000000000000,1.000000000000,0.400000000000,1.000000000000,0.032496614932,0.003762043713,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_oracle_retention,0.000000000000,0,0.032496614932,0.003762043713,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.012716123119,0.017292758791,0.000016772760,0.000016954966,0.053569614159,0.069141945984,0.003735743130,0.003755883674,0.996264256870,0.996244116326,0.996264256870,0.996244116326,54;52;54,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,0.500000000000,0.500000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,2.370833333333,0;0;0,0.500000000000,0.500000000000,0.000000000000,0.000000000000,1.000000000000
kv_fifo_eviction,0,1200,8,120,160,160,15,1.791759469228,2.781595169090,2.517625499733,1.364856469514,1.286382101064,0.581250000000,0.618750000000,72.000000000000,1.000000000000,0.800000000000,1.000000000000,2.870064583255,1.287934619850,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_fifo_eviction,0.000000000000,0,2.870064583255,1.287934619850,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.806188637658,0.724315327279,0.630828226905,0.589483111817,0.365826101166,0.320337179299,0.047299663280,0.041505420148,0.580020698950,0.580547351524,0.371536703605,0.392418184201,63;53;44,640;640;640,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.500000000000,0.230208333333,0.543750000000,0.543750000000,1.000000000000,160;160;160,1.000000000000,0.000000000000,0.500000000000,0.251875000000,0.502916666667
kv_reservoir,0,1200,8,120,160,160,15,1.791759469228,3.465163787439,2.977447072123,1.543476829736,1.381210781384,0.481250000000,0.575000000000,72.000000000000,1.000000000000,0.631666666667,1.000000000000,3.284986675757,1.292397428114,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_reservoir,0.000000000000,0,3.284986675757,1.292397428114,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.978020217789,0.816899612795,0.719332776285,0.636786306542,0.457820957070,0.366475486752,0.040018441235,0.072147946570,0.506175231694,0.502852053430,0.294237022150,0.334233088128,68;48;44,556;486;474,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,0.789583333333,0.210416666667,0.289583333333,0.143750000000,0.462500000000,0.462500000000,2.489583333333,118;83;77,0.820625000000,0.179375000000,0.320625000000,0.170555555556,0.437500000000
kv_hard_retention,0,1200,8,145,160,160,15,1.791759469228,1.482433183089,2.071722787348,0.887571992719,1.178104941005,0.787500000000,0.693750000000,107.000000000000,1.000000000000,0.637500000000,1.000000000000,1.952945161552,0.974733713093,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_hard_retention,0.000000000000,0,1.952945161552,0.974733713093,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.418346179077,0.603803133167,0.389094351112,0.512601230288,0.186671391852,0.229062741171,0.100690828146,0.146733383614,0.686809171854,0.672883051401,0.552992516727,0.482591538475,61;46;53,488;522;520,0.000000000000,0.583811807380,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.585217729708,0.000000000000,0.796875000000,0.203125000000,0.296875000000,0.087500000000,0.643750000000,0.643750000000,2.462500000000,84;101;100,0.787916666667,0.212083333333,0.287916666667,0.098819444444,0.642500000000
kv_annealed_retention,0,1200,8,145,160,160,15,1.791759469228,1.482433183089,2.071722787348,0.666299225885,0.602871415671,0.837500000000,0.887500000000,107.000000000000,1.000000000000,0.507500000000,1.000000000000,1.771818167970,0.695540411749,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_annealed_retention,0.000000000000,0,1.771818167970,0.695540411749,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.418346179077,0.603803133167,0.288639905244,0.214968201128,0.186671391852,0.229062741171,0.015789448275,0.045570868609,0.841889073564,0.841929131391,0.714421304652,0.751480685482,60;54;46,384;420;414,0.000000000000,0.567286113280,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.558946701243,0.000000000000,0.634375000000,0.365625000000,0.134375000000,0.047916666667,0.868750000000,0.868750000000,2.504166666667,32;50;47,0.645347222222,0.354652777778,0.145347222222,0.062986111111,0.824166666667
kv_full_capacity,1,1200,8,120,160,160,15,1.791759469228,0.073105016343,0.077032112325,0.003756075931,0.003783712476,1.000000000000,1.000000000000,96.000000000000,1.000000000000,0.800000000000,1.000000000000,0.045678585804,0.003730462485,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_full_capacity,0.000000000000,0,0.045678585804,0.003730462485,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.016037438216,0.016506020046,0.000016943302,0.000017210945,0.068205184359,0.071793467330,0.003749005632,0.003776529597,0.996250994368,0.996223470403,0.996250994368,0.996223470403,26;20;28;28;29;29,320;320;320;320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,2.500000000000,0;0;0;0;0;0,1.000000000000,0.000000000000,0.000000000000,0.000000000000,1.000000000000
kv_oracle_retention,1,1200,8,120,160,160,15,1.791759469228,0.073105016343,0.077032112325,0.003756075931,0.003783712476,1.000000000000,1.000000000000,72.000000000000,1.000000000000,0.400000000000,1.000000000000,0.045678585804,0.003730462485,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_oracle_retention,0.000000000000,0,0.045678585804,0.003730462485,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.016037438216,0.016506020046,0.000016943302,0.000017210945,0.068205184359,0.071793467330,0.003749005632,0.003776529597,0.996250994368,0.996223470403,0.996250994368,0.996223470403,43;58;59,320;320;320,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,0.500000000000,0.500000000000,0.000000000000,0.000000000000,1.000000000000,1.000000000000,2.593750000000,0;0;0,0.500000000000,0.500000000000,0.000000000000,0.000000000000,1.000000000000
kv_fifo_eviction,1,1200,8,120,160,160,15,1.791759469228,2.838434822522,2.447628523105,1.418541026953,1.275522746796,0.562500000000,0.637500000000,72.000000000000,1.000000000000,0.800000000000,1.000000000000,3.375120773813,1.442151660688,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_fifo_eviction,0.000000000000,0,3.375120773813,1.442151660688,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.815291394712,0.690989460237,0.651033294108,0.574549104863,0.365848176570,0.286064149452,0.038393101304,0.057703381545,0.600893101304,0.605193257055,0.371861676345,0.412422085066,50;53;57,640;640;640,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,1.000000000000,0.000000000000,0.500000000000,0.265625000000,0.537500000000,0.537500000000,1.000000000000,160;160;160,1.000000000000,0.000000000000,0.500000000000,0.246388888889,0.503333333333
kv_reservoir,1,1200,8,120,160,160,15,1.791759469228,2.703235485350,2.163200353288,1.359058030113,1.206169708047,0.587500000000,0.662500000000,72.000000000000,1.000000000000,0.634166666667,1.000000000000,2.046849163215,1.358746353586,320;320;320;320;320;320;480,entity:160;160;160;160;160;160;0|value:160;160;160;160;160;160;0|filler:0;0;0;0;0;0;0|query_marker:0;0;0;0;0;0;160|query_entity:0;0;0;0;0;0;160|context:0;0;0;0;0;0;160,kv_reservoir,0.000000000000,0,2.046849163215,1.358746353586,0.000000000000,0.000000000000,0.000000000000,0.000000000000,9600,0.000000000000,0.772028785245,0.628725034547,0.626244825793,0.550747684244,0.344139435395,0.264896519326,0.015358235835,0.092089634293,0.572141764165,0.570410365707,0.369808965803,0.406737971334,52;53;55,476;508;538,0.000000000000,0.000000000000,0.000000000000,2.000000000000,0.100000000000,900,0.000000000000,0.000000000000,0.000000000000,0.792708333333,0.207291666667,0.292708333333,0.142708333333,0.562500000000,0.562500000000,2.652083333333,78;94;109,0.801041666667,0.198958333333,0.301041666667,0.147152777778,0.518333333333
