intervention,metric,n,mean_harm,sd_harm,ci_low,ci_high,harmful_count
zero_query_context,holdout_nll,30,2.1544518310904,0.9200196808949447,1.821025493905335,2.4684162071712628,30
zero_query_context,holdout_accuracy,30,0.385625,0.10041870854508171,0.34833333333333333,0.41916666666666663,30
randomized_retention_actions,holdout_nll,30,2.6173650204314,0.8909790474209477,2.2936376467997417,2.919950867998936,30
randomized_retention_actions,holdout_accuracy,30,0.5635416666666667,0.09504257402047138,0.528125,0.5952083333333333,30
force_fifo_retention,holdout_nll,30,2.085234797019667,0.8770918861427771,1.7673695846943969,2.387176620661805,30
force_fifo_retention,holdout_accuracy,30,0.37395833333333334,0.0961416672768972,0.3385416666666667,0.4064583333333333,30
force_relevant_eviction,holdout_nll,30,2.956260422707133,0.9966415089339231,2.59592553118371,3.2968889968942037,30
force_relevant_eviction,holdout_accuracy,30,0.638125,0.10276812597063956,0.6010416666666667,0.6725,30
permuted_context_labels,holdout_nll,30,2.4015828421858,0.9947684223771127,2.0469347682256767,2.7460843259267422,30
permuted_context_labels,holdout_accuracy,30,0.5325,0.16133033951577694,0.475625,0.58875,30
disable_retention_skip,holdout_nll,30,1.4410247983524,0.6478794493930509,1.2125356800995284,1.6657389743927609,30
disable_retention_skip,holdout_accuracy,30,0.25895833333333335,0.0714060476084307,0.23374479166666667,0.28395833333333337,30
no_workspace_writes,holdout_nll,30,1.5225369928431667,0.3502314707267031,1.3948230501881624,1.6396074663500415,30
no_workspace_writes,holdout_accuracy,30,0.7222916666666667,0.08347715677970224,0.6916666666666667,0.750625,30
no_workspace_persistence,holdout_nll,30,1.5225369928431667,0.3502314707267031,1.3942729792167081,1.6400267982693792,30
no_workspace_persistence,holdout_accuracy,30,0.7222916666666667,0.08347715677970224,0.69125,0.75,30
no_mechanism_output,holdout_nll,30,1.5225369928431667,0.3502314707267031,1.3948392832491998,1.6388607989915842,30
no_mechanism_output,holdout_accuracy,30,0.7222916666666667,0.08347715677970224,0.6914583333333333,0.75,30
