preset,seed,steps,batch_size,parameters,train_count,holdout_count,sequence_length,chance_nll,initial_train_nll,initial_holdout_nll,final_train_nll,final_holdout_nll,final_train_accuracy,final_holdout_accuracy,mean_estimated_madds_per_token,mean_active_mechanisms_per_token,mean_writers_per_token,mean_recipients_per_token,first_window_loss,last_window_loss,mechanism_load,role_mechanism_load,condition,workspace_aux_initial_weight,workspace_aux_anneal_steps,first_primary_window_loss,last_primary_window_loss,last_workspace_aux_window_loss
core_small,0,400,8,327,160,48,10,1.609437912434,1.662864947738,1.566592393742,0.618243883005,1.704168491713,0.762500000000,0.458333333333,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.656558385921,0.642158275619,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_small,0.000000000000,0,1.656558385921,0.642158275619,0.000000000000
core_compute_matched,0,400,8,2232,160,48,10,1.609437912434,1.612097911469,1.689924177425,0.406605540271,1.494000417693,0.850000000000,0.562500000000,1092.000000000000,0.000000000000,0.000000000000,0.000000000000,1.564012633495,0.521970685553,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_compute_matched,0.000000000000,0,1.564012633495,0.521970685553,0.000000000000
core_param_matched,0,400,8,2181,160,48,10,1.609437912434,1.777329657087,1.662634992154,0.142194554885,1.317028753253,0.956250000000,0.666666666667,1474.000000000000,0.000000000000,0.000000000000,0.000000000000,1.735908421114,0.133431104158,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_param_matched,0.000000000000,0,1.735908421114,0.133431104158,0.000000000000
sgw,0,400,8,2182,160,48,10,1.609437912434,1.716748567112,1.578253202408,0.259041084400,1.324453426043,0.937500000000,0.604166666667,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.692378969079,0.392787554858,140;175;254;177;126;88,entity:23;43;47;34;32;13|value:44;44;29;20;38;17|filler:56;64;128;72;36;28|query_marker:6;11;28;28;8;15|query_entity:11;13;22;23;12;15,sgw_redundant_final_only,0.000000000000,0,1.692378969079,0.392787554858,0.000000000000
sgw_broadcast_forced,0,400,8,2182,160,48,10,1.609437912434,1.663239285797,1.575594271913,0.410898841445,1.390882760874,0.868750000000,0.437500000000,1002.000000000000,2.000000000000,1.000000000000,2.000000000000,1.680868142465,0.434969534243,151;148;221;156;95;189,entity:33;26;42;27;18;46|value:40;35;34;25;35;23|filler:52;65;105;65;28;69|query_marker:16;16;20;17;4;23|query_entity:10;6;20;22;10;28,sgw_broadcast_forced_final_only,0.000000000000,0,1.680868142465,0.434969534243,0.000000000000
sgw_broadcast_forced,0,400,8,2182,160,48,10,1.609437912434,1.663239285797,1.575594271913,0.283316622623,1.330732621613,0.931250000000,0.583333333333,1002.000000000000,2.000000000000,1.000000000000,2.000000000000,2.459239428742,0.602336597540,126;151;263;270;124;26,entity:24;26;57;62;22;1|value:44;52;43;34;17;2|filler:34;44;129;112;47;18|query_marker:13;10;21;31;17;4|query_entity:11;19;13;31;21;1,sgw_broadcast_forced_aux_annealed,0.500000000000,200,1.660850715785,0.602336597540,0.000000000000
core_small,1,400,8,327,160,48,10,1.609437912434,1.626314890799,1.622552619507,0.293749326054,1.130771582614,0.887500000000,0.500000000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.597085715722,0.405833495067,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_small,0.000000000000,0,1.597085715722,0.405833495067,0.000000000000
core_compute_matched,1,400,8,2232,160,48,10,1.609437912434,1.627852045348,1.701188489803,0.226636551423,1.555283385931,0.925000000000,0.666666666667,1092.000000000000,0.000000000000,0.000000000000,0.000000000000,1.535351530490,0.512523855725,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_compute_matched,0.000000000000,0,1.535351530490,0.512523855725,0.000000000000
core_param_matched,1,400,8,2181,160,48,10,1.609437912434,1.755810025210,1.837339858894,0.245480482063,1.876192400357,0.925000000000,0.604166666667,1474.000000000000,0.000000000000,0.000000000000,0.000000000000,1.508670334967,0.329919377248,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_param_matched,0.000000000000,0,1.508670334967,0.329919377248,0.000000000000
sgw,1,400,8,2182,160,48,10,1.609437912434,1.634707192670,1.633458233821,0.131385306962,1.590965818602,0.956250000000,0.583333333333,1092.000000000000,2.000000000000,1.000000000000,2.000000000000,1.616119684310,0.224838146600,249;88;235;55;215;118,entity:54;16;58;0;43;21|value:63;23;45;6;32;23|filler:93;32;85;29;92;53|query_marker:13;7;11;15;30;20|query_entity:26;10;36;5;18;1,sgw_redundant_final_only,0.000000000000,0,1.616119684310,0.224838146600,0.000000000000
sgw_broadcast_forced,1,400,8,2182,160,48,10,1.609437912434,1.638680346631,1.638482013520,0.176761866507,1.158669642412,0.956250000000,0.541666666667,1002.000000000000,2.000000000000,1.000000000000,2.000000000000,1.612730548875,0.352720271856,72;139;325;74;286;64,entity:11;28;75;14;64;0|value:16;38;74;3;43;18|filler:38;65;116;34;94;37|query_marker:7;1;18;21;40;9|query_entity:0;7;42;2;45;0,sgw_broadcast_forced_final_only,0.000000000000,0,1.612730548875,0.352720271856,0.000000000000
sgw_broadcast_forced,1,400,8,2182,160,48,10,1.609437912434,1.638680346631,1.638482013520,0.171318862253,1.133439808026,0.962500000000,0.687500000000,1002.000000000000,2.000000000000,1.000000000000,2.000000000000,2.387283250507,0.241326689222,102;94;294;135;264;71,entity:20;9;70;12;63;18|value:17;27;61;16;60;11|filler:48;40;110;65;90;31|query_marker:14;7;15;31;19;10|query_entity:3;11;38;11;32;1,sgw_broadcast_forced_aux_annealed,0.500000000000,200,1.605025210541,0.241326689222,0.000000000000
core_small,2,400,8,327,160,48,10,1.609437912434,1.664125439024,1.694197839575,0.638569684729,2.144172622482,0.762500000000,0.375000000000,210.000000000000,0.000000000000,0.000000000000,0.000000000000,1.617053211717,0.613331440401,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_small,0.000000000000,0,1.617053211717,0.613331440401,0.000000000000
core_compute_matched,2,400,8,2232,160,48,10,1.609437912434,1.736772687629,1.825129322853,0.252971577984,2.335431655433,0.918750000000,0.416666666667,1092.000000000000,0.000000000000,0.000000000000,0.000000000000,1.686643811473,0.344711593475,0;0;0;0;0;0,entity:0;0;0;0;0;0|value:0;0;0;0;0;0|filler:0;0;0;0;0;0|query_marker:0;0;0;0;0;0|query_entity:0;0;0;0;0;0,core_compute_matched,0.000000000000,0,1.686643811473,0.344711593475,0.000000000000
